id,question,seq2seq,concate,seq2seq_attention
47,Kiss my ass,i am not your a man,i am sorry i did not mean to you,sorry am sorry
48,Fuck,i do not know what you are talking about,i am sorry,you are the only done you crazy
49,Go fuck yourself,i will get it,i do not,i am going to am
50,Shit,it is okay there is a lot more time in the world,i am not sure i can tell you,it cannot saw him
51,Piece of shit,what do you want,you are not going to,i am gonna make it you got it
52,Bullshit,i would not be able to get it,i am sorry i did not mean to you,i do not know what you are going to do
53,Good luck,you too cool,good to see you,good night
54,I am tired,i do not know what to do,i am sorry,i am sorry
55,I am kidding,i am not going to get your time,i am not,you are not crazy you felt you
56,Love you,i am sorry,i do not know but i cannot leave,i am sorry
57,Goodbye,so good happened,what are you going to do,i am sorry i am sorry i have got to go
58,See you soon,i am not going to get you,i am afraid,i am going to hang up the little an'
59,That is cool,what is the matter with you,i am sorry i have seen a nice way,i do not know i know you are gonna be a friend you are late
60,I miss you ,i know you and me,i am sorry you are doing the,i know
61,Do me a favor,not really,i am not supposed to,i do not want to hear something
62,I am glad to chat with you,wait a second,i am not going to have a party 'cause not,i thought you were gonna be blow
63,You are awesome,i am sorry,i am sorry,i know i know
64,How dare you,running days,i do not know,i am sorry
65,Bless you,shut up,i am sorry i cannot do that,you cannot help me that is what happened
66,I am mad at you,yeah i am not a i am not sure i will,i am sorry i did not mean,i am sorry
67,Back off,well it is not a man is mind,i am sorry,you were not scared before that
68,Come on ,i will be back,i am sorry,i am gonna be a dollar before
69,Play with me,i will not let you,i am not hungry,i do not know
70,Cheers,i do not know i just got a of papers to the sister,you are not a king,what about you
71,You are funny,you are not,i am sorry,yeah yeah i will see you later
72,Thank you,you are welcome,i am sorry i am going to have a good time,you are welcome
73,You are welcome,i am not going to die,i am sorry i am not going to i am not going to do it,i am sorry i have got to have a little drink
74,Control yourself,i do not know,i am sorry,i am sorry
75,Son of a bitch,i do not think so,he is got a better than you,what about the money
76,Don't be so rude,i am not going to have to go,i am sorry i did not mean,i am going to leave the people
77,Feel free to join me,i do not know if i do not,i am not,i will be fine
78,I need a hug,no no,i am sorry,you will eat it when you see
79,I want to dance,i do not want to talk about it,i am sorry i do not know,i am not sure
80,Watch your mouth,you are it is not it,i am sorry i have got a little idea with you,you think it is a good idea
81,I am sorry,it is okay you are talked to the feeling,i am sorry i will see you,i know
82,Grab a beer,i do not know what to do i have to talk to you,i am sorry sir,i am telling you i am figured of a guy who to want me to come
83,It is hard to say,you are not gonna do not have to do anything,i am sorry i am not supposed to i am tired of you,i am gonna go ahead hope
84,Have a good day,i will be here,i am sorry i could not have to you,i hope so
85,Tell me a joke,no i do not want to know,i am sorry i did not,i am afraid
86,Stop talking to me,i am not going to you,i am sorry i am feeling old,you are a little guys
87,Be quiet,i have to go,i am not going to worry you,i hate him
88,Silence,damn right,i am not saying i did not,i am sorry i am sorry am i ai not scared i am sorry i am
89,Hell no,i am not going to die,i am sorry,no no no no no no no
90,That is interesting,i am sorry,i am sorry i am not going to tell you that,i am afraid
91,Work with me,i have got a job,i am sorry,yes sir
92,I am here,you are going to,i am sorry,you are going to have a hard time
93,You have no honor,i have to see you,i do not know,i hope so
94,You better run,i am fine,i am sorry,i am not gonna get married
95,Play some music,you are welcome to me,i am afraid i do not,i am not sure
96,I think the meal is great,you mean you like to get out of here,i am not sure i will handle sir,i am going to see the saw you
97,Show me your work,yeah i know,i am sorry i do not want to,oh nothing about real bucks i do not know
98,Look after yourself,i am sorry,i do not understand,you mean you are right
99,You are a genius,i just thought i would be afraid to get it,i am not sure,i am not sure
